"productkey","productalternatekey","productsubcategorykey","englishproductname","color","safetystocklevel","reorderpoint","size","daystomanufacture","productline","modelname","englishdescription","startdate","enddate","status","productcategorykey","productcategoryalternatekey","englishproductcategoryname","productsubcategorykey-2","productsubcategoryalternatekey","englishproductsubcategoryname","productcategorykey-2"
593,"BK-M18S-44",1,"Mountain-500 Silver, 44","Silver",100,75,"44",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
592,"BK-M18S-42",1,"Mountain-500 Silver, 42","Silver",100,75,"42",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
591,"BK-M18S-40",1,"Mountain-500 Silver, 40","Silver",100,75,"40",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
590,"BK-M38S-46",1,"Mountain-400-W Silver, 46","Silver",100,75,"46",4,"M ","Mountain-400-W","This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
589,"BK-M38S-42",1,"Mountain-400-W Silver, 42","Silver",100,75,"42",4,"M ","Mountain-400-W","This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
588,"BK-M38S-40",1,"Mountain-400-W Silver, 40","Silver",100,75,"40",4,"M ","Mountain-400-W","This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
587,"BK-M38S-38",1,"Mountain-400-W Silver, 38","Silver",100,75,"38",4,"M ","Mountain-400-W","This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
347,"BK-M82S-48",1,"Mountain-100 Silver, 48","Silver",100,75,"48",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
348,"BK-M82B-38",1,"Mountain-100 Black, 38","Black",100,75,"38",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
344,"BK-M82S-38",1,"Mountain-100 Silver, 38","Silver",100,75,"38",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
345,"BK-M82S-42",1,"Mountain-100 Silver, 42","Silver",100,75,"42",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
346,"BK-M82S-44",1,"Mountain-100 Silver, 44","Silver",100,75,"44",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
600,"BK-M18B-52",1,"Mountain-500 Black, 52","Black",100,75,"52",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
599,"BK-M18B-48",1,"Mountain-500 Black, 48","Black",100,75,"48",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
349,"BK-M82B-42",1,"Mountain-100 Black, 42","Black",100,75,"42",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
350,"BK-M82B-44",1,"Mountain-100 Black, 44","Black",100,75,"44",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
351,"BK-M82B-48",1,"Mountain-100 Black, 48","Black",100,75,"48",4,"M ","Mountain-100","Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
352,"BK-M68S-38",1,"Mountain-200 Silver, 38","Silver",100,75,"38",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
353,"BK-M68S-38",1,"Mountain-200 Silver, 38","Silver",100,75,"38",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
354,"BK-M68S-42",1,"Mountain-200 Silver, 42","Silver",100,75,"42",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
355,"BK-M68S-42",1,"Mountain-200 Silver, 42","Silver",100,75,"42",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
356,"BK-M68S-46",1,"Mountain-200 Silver, 46","Silver",100,75,"46",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
357,"BK-M68S-46",1,"Mountain-200 Silver, 46","Silver",100,75,"46",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0",NULL,"Current",1,1,"Bikes",1,1,"Mountain Bikes",1
358,"BK-M68B-38",1,"Mountain-200 Black, 38","Black",100,75,"38",4,"M ","Mountain-200","Serious back-country riding. Perfect for all levels of competition. Uses the same HL Frame as the Mountain-100.","00:00.0","00:00.0",NULL,1,1,"Bikes",1,1,"Mountain Bikes",1
310,"BK-R93R-62",2,"Road-150 Red, 62","Red",100,75,"62",4,"R ","Road-150","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
606,"BK-R19B-52",2,"Road-750 Black, 52","Black",100,75,"52",4,"R ","Road-750","Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.","00:00.0",NULL,"Current",1,1,"Bikes",2,2,"Road Bikes",1
605,"BK-R19B-48",2,"Road-750 Black, 48","Black",100,75,"48",4,"R ","Road-750","Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.","00:00.0",NULL,"Current",1,1,"Bikes",2,2,"Road Bikes",1
604,"BK-R19B-44",2,"Road-750 Black, 44","Black",100,75,"44",4,"R ","Road-750","Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.","00:00.0",NULL,"Current",1,1,"Bikes",2,2,"Road Bikes",1
584,"BK-R19B-58",2,"Road-750 Black, 58","Black",100,75,"58",4,"R ","Road-750","Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.","00:00.0",NULL,"Current",1,1,"Bikes",2,2,"Road Bikes",1
583,"BK-R79Y-48",2,"Road-350-W Yellow, 48","Yellow",100,75,"48",4,"R ","Road-350-W","Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.","00:00.0",NULL,"Current",1,1,"Bikes",2,2,"Road Bikes",1
582,"BK-R79Y-44",2,"Road-350-W Yellow, 44","Yellow",100,75,"44",4,"R ","Road-350-W","Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.","00:00.0",NULL,"Current",1,1,"Bikes",2,2,"Road Bikes",1
581,"BK-R79Y-42",2,"Road-350-W Yellow, 42","Yellow",100,75,"42",4,"R ","Road-350-W","Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.","00:00.0",NULL,"Current",1,1,"Bikes",2,2,"Road Bikes",1
580,"BK-R79Y-40",2,"Road-350-W Yellow, 40","Yellow",100,75,"40",4,"R ","Road-350-W","Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.","00:00.0",NULL,"Current",1,1,"Bikes",2,2,"Road Bikes",1
387,"BK-R64Y-44",2,"Road-550-W Yellow, 44","Yellow",100,75,"44",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
386,"BK-R64Y-42",2,"Road-550-W Yellow, 42","Yellow",100,75,"42",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0",NULL,"Current",1,1,"Bikes",2,2,"Road Bikes",1
385,"BK-R64Y-42",2,"Road-550-W Yellow, 42","Yellow",100,75,"42",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
384,"BK-R64Y-40",2,"Road-550-W Yellow, 40","Yellow",100,75,"40",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0",NULL,"Current",1,1,"Bikes",2,2,"Road Bikes",1
383,"BK-R64Y-40",2,"Road-550-W Yellow, 40","Yellow",100,75,"40",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
382,"BK-R64Y-38",2,"Road-550-W Yellow, 38","Yellow",100,75,"38",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0",NULL,"Current",1,1,"Bikes",2,2,"Road Bikes",1
381,"BK-R64Y-38",2,"Road-550-W Yellow, 38","Yellow",100,75,"38",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
380,"BK-R89B-58",2,"Road-250 Black, 58","Black",100,75,"58",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0",NULL,"Current",1,1,"Bikes",2,2,"Road Bikes",1
379,"BK-R89B-58",2,"Road-250 Black, 58","Black",100,75,"58",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
378,"BK-R89B-52",2,"Road-250 Black, 52","Black",100,75,"52",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0",NULL,"Current",1,1,"Bikes",2,2,"Road Bikes",1
377,"BK-R89B-52",2,"Road-250 Black, 52","Black",100,75,"52",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
376,"BK-R89B-48",2,"Road-250 Black, 48","Black",100,75,"48",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0",NULL,"Current",1,1,"Bikes",2,2,"Road Bikes",1
375,"BK-R89B-48",2,"Road-250 Black, 48","Black",100,75,"48",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
374,"BK-R89B-44",2,"Road-250 Black, 44","Black",100,75,"44",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0",NULL,"Current",1,1,"Bikes",2,2,"Road Bikes",1
373,"BK-R89B-44",2,"Road-250 Black, 44","Black",100,75,"44",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
372,"BK-R89R-58",2,"Road-250 Red, 58","Red",100,75,"58",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0",NULL,"Current",1,1,"Bikes",2,2,"Road Bikes",1
371,"BK-R89R-58",2,"Road-250 Red, 58","Red",100,75,"58",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
370,"BK-R89R-52",2,"Road-250 Red, 52","Red",100,75,"52",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
369,"BK-R89R-48",2,"Road-250 Red, 48","Red",100,75,"48",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
368,"BK-R89R-44",2,"Road-250 Red, 44","Red",100,75,"44",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
343,"BK-R50B-52",2,"Road-650 Black, 52","Black",100,75,"52",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
342,"BK-R50B-52",2,"Road-650 Black, 52","Black",100,75,"52",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
341,"BK-R50B-48",2,"Road-650 Black, 48","Black",100,75,"48",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
340,"BK-R50B-48",2,"Road-650 Black, 48","Black",100,75,"48",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
339,"BK-R50B-44",2,"Road-650 Black, 44","Black",100,75,"44",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
338,"BK-R50B-44",2,"Road-650 Black, 44","Black",100,75,"44",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
337,"BK-R50B-62",2,"Road-650 Black, 62","Black",100,75,"62",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
336,"BK-R50B-62",2,"Road-650 Black, 62","Black",100,75,"62",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
334,"BK-R50B-60",2,"Road-650 Black, 60","Black",100,75,"60",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
333,"BK-R50B-58",2,"Road-650 Black, 58","Black",100,75,"58",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
332,"BK-R50B-58",2,"Road-650 Black, 58","Black",100,75,"58",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
331,"BK-R50R-52",2,"Road-650 Red, 52","Red",100,75,"52",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
330,"BK-R50R-52",2,"Road-650 Red, 52","Red",100,75,"52",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
329,"BK-R50R-48",2,"Road-650 Red, 48","Red",100,75,"48",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
328,"BK-R50R-48",2,"Road-650 Red, 48","Red",100,75,"48",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
327,"BK-R50R-44",2,"Road-650 Red, 44","Red",100,75,"44",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
326,"BK-R50R-44",2,"Road-650 Red, 44","Red",100,75,"44",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
325,"BK-R50R-62",2,"Road-650 Red, 62","Red",100,75,"62",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
324,"BK-R50R-62",2,"Road-650 Red, 62","Red",100,75,"62",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
323,"BK-R50R-60",2,"Road-650 Red, 60","Red",100,75,"60",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
322,"BK-R50R-60",2,"Road-650 Red, 60","Red",100,75,"60",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
321,"BK-R50R-58",2,"Road-650 Red, 58","Red",100,75,"58",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
320,"BK-R50R-58",2,"Road-650 Red, 58","Red",100,75,"58",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
319,"BK-R68R-52",2,"Road-450 Red, 52","Red",100,75,"52",4,"R ","Road-450","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
318,"BK-R68R-48",2,"Road-450 Red, 48","Red",100,75,"48",4,"R ","Road-450","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
317,"BK-R68R-44",2,"Road-450 Red, 44","Red",100,75,"44",4,"R ","Road-450","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
316,"BK-R68R-60",2,"Road-450 Red, 60","Red",100,75,"60",4,"R ","Road-450","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
315,"BK-R68R-58",2,"Road-450 Red, 58","Red",100,75,"58",4,"R ","Road-450","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
314,"BK-R93R-56",2,"Road-150 Red, 56","Red",100,75,"56",4,"R ","Road-150","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
313,"BK-R93R-52",2,"Road-150 Red, 52","Red",100,75,"52",4,"R ","Road-150","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
312,"BK-R93R-48",2,"Road-150 Red, 48","Red",100,75,"48",4,"R ","Road-150","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
311,"BK-R93R-44",2,"Road-150 Red, 44","Red",100,75,"44",4,"R ","Road-150","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","00:00.0","00:00.0",NULL,1,1,"Bikes",2,2,"Road Bikes",1
