"productkey","productalternatekey","productsubcategorykey","englishproductname","color","safetystocklevel","reorderpoint","size","daystomanufacture","productline","modelname","englishdescription","startdate","enddate","status","englishproductcategoryname","englishproductsubcategoryname"
373,"BK-R89B-44",2,"Road-250 Black, 44","Black",100,75,"44",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
374,"BK-R89B-44",2,"Road-250 Black, 44","Black",100,75,"44",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0",NULL,"Current","Bikes","Road Bikes"
375,"BK-R89B-48",2,"Road-250 Black, 48","Black",100,75,"48",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
376,"BK-R89B-48",2,"Road-250 Black, 48","Black",100,75,"48",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0",NULL,"Current","Bikes","Road Bikes"
377,"BK-R89B-52",2,"Road-250 Black, 52","Black",100,75,"52",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
378,"BK-R89B-52",2,"Road-250 Black, 52","Black",100,75,"52",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0",NULL,"Current","Bikes","Road Bikes"
379,"BK-R89B-58",2,"Road-250 Black, 58","Black",100,75,"58",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
380,"BK-R89B-58",2,"Road-250 Black, 58","Black",100,75,"58",4,"R ","Road-250","Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.","00:00.0",NULL,"Current","Bikes","Road Bikes"
381,"BK-R64Y-38",2,"Road-550-W Yellow, 38","Yellow",100,75,"38",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
382,"BK-R64Y-38",2,"Road-550-W Yellow, 38","Yellow",100,75,"38",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0",NULL,"Current","Bikes","Road Bikes"
383,"BK-R64Y-40",2,"Road-550-W Yellow, 40","Yellow",100,75,"40",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
384,"BK-R64Y-40",2,"Road-550-W Yellow, 40","Yellow",100,75,"40",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0",NULL,"Current","Bikes","Road Bikes"
385,"BK-R64Y-42",2,"Road-550-W Yellow, 42","Yellow",100,75,"42",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
386,"BK-R64Y-42",2,"Road-550-W Yellow, 42","Yellow",100,75,"42",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0",NULL,"Current","Bikes","Road Bikes"
387,"BK-R64Y-44",2,"Road-550-W Yellow, 44","Yellow",100,75,"44",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
388,"BK-R64Y-44",2,"Road-550-W Yellow, 44","Yellow",100,75,"44",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0",NULL,"Current","Bikes","Road Bikes"
389,"BK-R64Y-48",2,"Road-550-W Yellow, 48","Yellow",100,75,"48",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
390,"BK-R64Y-48",2,"Road-550-W Yellow, 48","Yellow",100,75,"48",4,"R ","Road-550-W","Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.","00:00.0",NULL,"Current","Bikes","Road Bikes"
583,"BK-R79Y-48",2,"Road-350-W Yellow, 48","Yellow",100,75,"48",4,"R ","Road-350-W","Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.","00:00.0",NULL,"Current","Bikes","Road Bikes"
582,"BK-R79Y-44",2,"Road-350-W Yellow, 44","Yellow",100,75,"44",4,"R ","Road-350-W","Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.","00:00.0",NULL,"Current","Bikes","Road Bikes"
581,"BK-R79Y-42",2,"Road-350-W Yellow, 42","Yellow",100,75,"42",4,"R ","Road-350-W","Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.","00:00.0",NULL,"Current","Bikes","Road Bikes"
580,"BK-R79Y-40",2,"Road-350-W Yellow, 40","Yellow",100,75,"40",4,"R ","Road-350-W","Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.","00:00.0",NULL,"Current","Bikes","Road Bikes"
579,"BK-T44U-54",3,"Touring-2000 Blue, 54","Blue",100,75,"54",4,"T ","Touring-2000","The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.","00:00.0",NULL,"Current","Bikes","Touring Bikes"
578,"BK-T44U-50",3,"Touring-2000 Blue, 50","Blue",100,75,"50",4,"T ","Touring-2000","The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.","00:00.0",NULL,"Current","Bikes","Touring Bikes"
606,"BK-R19B-52",2,"Road-750 Black, 52","Black",100,75,"52",4,"R ","Road-750","Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.","00:00.0",NULL,"Current","Bikes","Road Bikes"
605,"BK-R19B-48",2,"Road-750 Black, 48","Black",100,75,"48",4,"R ","Road-750","Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.","00:00.0",NULL,"Current","Bikes","Road Bikes"
604,"BK-R19B-44",2,"Road-750 Black, 44","Black",100,75,"44",4,"R ","Road-750","Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.","00:00.0",NULL,"Current","Bikes","Road Bikes"
600,"BK-M18B-52",1,"Mountain-500 Black, 52","Black",100,75,"52",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
599,"BK-M18B-48",1,"Mountain-500 Black, 48","Black",100,75,"48",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
598,"BK-M18B-44",1,"Mountain-500 Black, 44","Black",100,75,"44",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
597,"BK-M18B-42",1,"Mountain-500 Black, 42","Black",100,75,"42",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
596,"BK-M18B-40",1,"Mountain-500 Black, 40","Black",100,75,"40",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
595,"BK-M18S-52",1,"Mountain-500 Silver, 52","Silver",100,75,"52",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
594,"BK-M18S-48",1,"Mountain-500 Silver, 48","Silver",100,75,"48",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
593,"BK-M18S-44",1,"Mountain-500 Silver, 44","Silver",100,75,"44",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
592,"BK-M18S-42",1,"Mountain-500 Silver, 42","Silver",100,75,"42",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
591,"BK-M18S-40",1,"Mountain-500 Silver, 40","Silver",100,75,"40",4,"M ","Mountain-500","Suitable for any type of riding, on or off-road. Fits any budget. Smooth-shifting with a comfortable ride.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
590,"BK-M38S-46",1,"Mountain-400-W Silver, 46","Silver",100,75,"46",4,"M ","Mountain-400-W","This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
589,"BK-M38S-42",1,"Mountain-400-W Silver, 42","Silver",100,75,"42",4,"M ","Mountain-400-W","This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
588,"BK-M38S-40",1,"Mountain-400-W Silver, 40","Silver",100,75,"40",4,"M ","Mountain-400-W","This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
587,"BK-M38S-38",1,"Mountain-400-W Silver, 38","Silver",100,75,"38",4,"M ","Mountain-400-W","This bike delivers a high-level of performance on a budget. It is responsive and maneuverable, and offers peace-of-mind when you decide to go off-road.","00:00.0",NULL,"Current","Bikes","Mountain Bikes"
586,"BK-T18U-50",3,"Touring-3000 Blue, 50","Blue",100,75,"50",4,"T ","Touring-3000","All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.","00:00.0",NULL,"Current","Bikes","Touring Bikes"
335,"BK-R50B-60",2,"Road-650 Black, 60","Black",100,75,"60",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
585,"BK-T18U-44",3,"Touring-3000 Blue, 44","Blue",100,75,"44",4,"T ","Touring-3000","All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.","00:00.0",NULL,"Current","Bikes","Touring Bikes"
584,"BK-R19B-58",2,"Road-750 Black, 58","Black",100,75,"58",4,"R ","Road-750","Entry level adult bike; offers a comfortable ride cross-country or down the block. Quick-release hubs and rims.","00:00.0",NULL,"Current","Bikes","Road Bikes"
310,"BK-R93R-62",2,"Road-150 Red, 62","Red",100,75,"62",4,"R ","Road-150","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
311,"BK-R93R-44",2,"Road-150 Red, 44","Red",100,75,"44",4,"R ","Road-150","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
312,"BK-R93R-48",2,"Road-150 Red, 48","Red",100,75,"48",4,"R ","Road-150","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
313,"BK-R93R-52",2,"Road-150 Red, 52","Red",100,75,"52",4,"R ","Road-150","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
314,"BK-R93R-56",2,"Road-150 Red, 56","Red",100,75,"56",4,"R ","Road-150","This bike is ridden by race winners. Developed with the Adventure Works Cycles professional race team, it has a extremely light heat-treated aluminum frame, and steering that allows precision control.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
315,"BK-R68R-58",2,"Road-450 Red, 58","Red",100,75,"58",4,"R ","Road-450","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
316,"BK-R68R-60",2,"Road-450 Red, 60","Red",100,75,"60",4,"R ","Road-450","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
317,"BK-R68R-44",2,"Road-450 Red, 44","Red",100,75,"44",4,"R ","Road-450","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
318,"BK-R68R-48",2,"Road-450 Red, 48","Red",100,75,"48",4,"R ","Road-450","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
319,"BK-R68R-52",2,"Road-450 Red, 52","Red",100,75,"52",4,"R ","Road-450","A true multi-sport bike that offers streamlined riding and a revolutionary design. Aerodynamic design lets you ride with the pros, and the gearing will conquer hilly roads.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
320,"BK-R50R-58",2,"Road-650 Red, 58","Red",100,75,"58",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
321,"BK-R50R-58",2,"Road-650 Red, 58","Red",100,75,"58",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
322,"BK-R50R-60",2,"Road-650 Red, 60","Red",100,75,"60",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
323,"BK-R50R-60",2,"Road-650 Red, 60","Red",100,75,"60",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
324,"BK-R50R-62",2,"Road-650 Red, 62","Red",100,75,"62",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
325,"BK-R50R-62",2,"Road-650 Red, 62","Red",100,75,"62",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
326,"BK-R50R-44",2,"Road-650 Red, 44","Red",100,75,"44",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
327,"BK-R50R-44",2,"Road-650 Red, 44","Red",100,75,"44",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
328,"BK-R50R-48",2,"Road-650 Red, 48","Red",100,75,"48",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
329,"BK-R50R-48",2,"Road-650 Red, 48","Red",100,75,"48",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
330,"BK-R50R-52",2,"Road-650 Red, 52","Red",100,75,"52",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
331,"BK-R50R-52",2,"Road-650 Red, 52","Red",100,75,"52",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
332,"BK-R50B-58",2,"Road-650 Black, 58","Black",100,75,"58",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
333,"BK-R50B-58",2,"Road-650 Black, 58","Black",100,75,"58",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
334,"BK-R50B-60",2,"Road-650 Black, 60","Black",100,75,"60",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
336,"BK-R50B-62",2,"Road-650 Black, 62","Black",100,75,"62",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
337,"BK-R50B-62",2,"Road-650 Black, 62","Black",100,75,"62",4,"R ","Road-650","Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.","00:00.0","00:00.0",NULL,"Bikes","Road Bikes"
